tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,pitch,note,velocity
165960,note_on,0,0,2,,,,,,,,,2,,,88,74
166055,note_off,95,0,2,,,,,,,,,2,,,88,0
166080,note_on,0,0,5,,,,,,,,,5,,,66,74
166080,note_off,480,0,1,,,,,,,,,1,,,83,0
166080,note_off,480,0,5,,,,,,,,,5,,,67,0
166080,note_on,0,0,1,,,,,,,,,1,,,81,74
166200,note_on,145,0,2,,,,,,,,,2,,,88,75
166320,note_on,0,0,2,,,,,,,,,2,,,85,75
166320,note_off,120,0,2,,,,,,,,,2,,,88,0
166440,note_off,120,0,2,,,,,,,,,2,,,85,0
166440,note_on,0,0,2,,,,,,,,,2,,,86,76
166535,note_off,95,0,2,,,,,,,,,2,,,86,0
166560,note_off,480,0,1,,,,,,,,,1,,,81,0
166560,note_off,480,0,5,,,,,,,,,5,,,66,0
166560,note_on,0,0,5,,,,,,,,,5,,,64,77
166560,note_on,0,0,1,,,,,,,,,1,,,79,77
166680,note_on,145,0,2,,,,,,,,,2,,,81,77
166800,note_off,120,0,2,,,,,,,,,2,,,81,0
166800,note_on,0,0,2,,,,,,,,,2,,,83,78
166920,note_off,120,0,2,,,,,,,,,2,,,83,0
166920,note_on,0,0,2,,,,,,,,,2,,,84,78
167015,note_off,95,0,2,,,,,,,,,2,,,84,0
167040,note_off,480,0,5,,,,,,,,,5,,,64,0
167040,note_on,0,0,1,,,,,,,,,1,,,78,79
167040,note_off,480,0,1,,,,,,,,,1,,,79,0
167040,note_on,0,0,5,,,,,,,,,5,,,62,79
167160,note_on,145,0,2,,,,,,,,,2,,,84,79
167280,note_on,0,0,2,,,,,,,,,2,,,82,80
167280,note_off,120,0,2,,,,,,,,,2,,,84,0
167400,note_on,0,0,2,,,,,,,,,2,,,83,80
167400,note_off,120,0,2,,,,,,,,,2,,,82,0
167495,note_off,95,0,2,,,,,,,,,2,,,83,0
167520,note_off,480,0,5,,,,,,,,,5,,,62,0
167520,note_on,0,0,5,,,,,,,,,5,,,60,81
167520,note_on,0,0,1,,,,,,,,,1,,,76,81
167520,note_off,480,0,1,,,,,,,,,1,,,78,0
167640,note_on,145,0,2,,,,,,,,,2,,,78,81
167760,note_off,120,0,2,,,,,,,,,2,,,78,0
167760,note_on,0,0,2,,,,,,,,,2,,,80,82
167880,note_off,120,0,2,,,,,,,,,2,,,80,0
167880,note_on,0,0,2,,,,,,,,,2,,,81,83
167975,note_off,95,0,2,,,,,,,,,2,,,81,0
168000,note_off,480,0,1,,,,,,,,,1,,,76,0
168000,note_off,480,0,5,,,,,,,,,5,,,60,0
168000,note_on,0,0,5,,,,,,,,,5,,,59,83
168000,note_on,0,0,1,,,,,,,,,1,,,74,83
168120,note_on,145,0,2,,,,,,,,,2,,,81,84
168240,note_off,120,0,2,,,,,,,,,2,,,81,0
168240,note_on,0,0,2,,,,,,,,,2,,,78,84
168360,note_off,120,0,2,,,,,,,,,2,,,78,0
168360,note_on,0,0,2,,,,,,,,,2,,,79,85
168420,set_tempo,2820,1,0,,,,,,434782,,,,,,,
168450,note_off,450,0,5,,,,,,,,,5,,,59,0
168450,note_off,450,0,1,,,,,,,,,1,,,74,0
168455,note_off,95,0,2,,,,,,,,,2,,,79,0
168480,note_on,30,0,1,,,,,,,,,1,,,76,85
168480,note_on,30,0,5,,,,,,,,,5,,,60,85
168600,note_on,0,0,1,,,,,,,,,1,,,79,84
168600,note_off,120,0,1,,,,,,,,,1,,,76,0
168720,note_on,0,0,1,,,,,,,,,1,,,76,84
168720,note_off,120,0,1,,,,,,,,,1,,,79,0
168840,note_off,120,0,1,,,,,,,,,1,,,76,0
168840,note_on,0,0,1,,,,,,,,,1,,,72,83
168845,note_off,365,0,5,,,,,,,,,5,,,60,0
168935,note_off,95,0,1,,,,,,,,,1,,,72,0
168960,note_on,115,0,5,,,,,,,,,5,,,62,82
168960,note_on,25,0,1,,,,,,,,,1,,,71,82
169080,note_on,0,0,1,,,,,,,,,1,,,74,82
169080,note_off,120,0,1,,,,,,,,,1,,,71,0
169200,note_on,0,0,1,,,,,,,,,1,,,67,81
169200,note_off,120,0,1,,,,,,,,,1,,,74,0
169270,note_off,310,0,5,,,,,,,,,5,,,62,0
169320,note_off,120,0,1,,,,,,,,,1,,,67,0
169320,note_on,0,0,1,,,,,,,,,1,,,71,80
